CRIMINAL DAMAGE,2001-2006,331648
ARSON,2001-2006,5193
CRIMINAL SEXUAL ASSAULT,2001-2006,230
ROBBERY,2001-2006,102289
OFFENSE INVOLVING CHILDREN,2001-2006,16692
WEAPONS VIOLATION,2001-2006,24995
INTERFERENCE WITH PUBLIC OFFICER,2001-2006,3080
RITUALISM,2001-2006,22
GAMBLING,2001-2006,6561
ASSAULT,2001-2006,174246
KIDNAPPING,2001-2006,3677
LIQUOR LAW VIOLATION,2001-2006,7487
PROSTITUTION,2001-2006,39282
STALKING,2001-2006,1244
PUBLIC INDECENCY,2001-2006,40
HOMICIDE,2001-2006,3313
SEX OFFENSE,2001-2006,11688
OBSCENITY,2001-2006,110
OTHER OFFENSE,2001-2006,178072
CRIM SEXUAL ASSAULT,2001-2006,9650
NARCOTICS,2001-2006,325751
BURGLARY,2001-2006,151185
BATTERY,2001-2006,527762
OTHER NARCOTIC VIOLATION,2001-2006,40
DECEPTIVE PRACTICE,2001-2006,82594
THEFT,2001-2006,563875
INTIMIDATION,2001-2006,1863
MOTOR VEHICLE THEFT,2001-2006,142544
DOMESTIC VIOLENCE,2001-2006,1
PUBLIC PEACE VIOLATION,2001-2006,15930
CRIMINAL TRESPASS,2001-2006,89001
NON-CRIMINAL,2001-2006,1
CONCEALED CARRY LICENSE VIOLATION,2001-2006,1
