OFFENSE INVOLVING CHILDREN,2010,2630
CRIMINAL DAMAGE,2003,55011
BURGLARY,2003,25157
CRIMINAL DAMAGE,2006,57124
OFFENSE INVOLVING CHILDREN,2017,2419
OTHER OFFENSE,2020,12594
NARCOTICS,2012,35489
PROSTITUTION,2001,6026
HOMICIDE,2010,438
CRIMINAL DAMAGE,2019,26681
OTHER OFFENSE,2013,18051
ASSAULT,2007,26313
ROBBERY,2010,14275
WEAPONS VIOLATION,2023,7217
CRIMINAL SEXUAL ASSAULT,2021,1501
MOTOR VEHICLE THEFT,2003,22749
HOMICIDE,2017,676
THEFT,2010,76757
ROBBERY,2023,8687
THEFT,2005,85684
BURGLARY,2002,25623
CRIMINAL SEXUAL ASSAULT,2014,73
ROBBERY,2004,15978
SEX OFFENSE,2022,1219
CRIMINAL DAMAGE,2010,40654
OFFENSE INVOLVING CHILDREN,2004,3101
OFFENSE INVOLVING CHILDREN,2016,2464
OTHER OFFENSE,2017,17269
ROBBERY,2011,13983
DECEPTIVE PRACTICE,2011,12730
BATTERY,2017,49239
OTHER OFFENSE,2009,25601
CRIMINAL DAMAGE,2005,54548
OFFENSE INVOLVING CHILDREN,2001,2263
OFFENSE INVOLVING CHILDREN,2012,2330
CRIM SEXUAL ASSAULT,2006,1439
ROBBERY,2018,9681
NARCOTICS,2018,13590
OTHER OFFENSE,2015,17566
OTHER OFFENSE,2006,27101
SEX OFFENSE,2016,1051
ROBBERY,2020,7855
ARSON,2006,726
HOMICIDE,2011,438
ASSAULT,2020,18253
KIDNAPPING,2021,87
BATTERY,2006,80666
ARSON,2008,644
BATTERY,2011,60459
HOMICIDE,2021,810
PROSTITUTION,2014,1625
OFFENSE INVOLVING CHILDREN,2014,2527
CRIMINAL SEXUAL ASSAULT,2010,57
THEFT,2006,86240
BATTERY,2013,54006
MOTOR VEHICLE THEFT,2006,21818
BATTERY,2001,93463
CRIM SEXUAL ASSAULT,2011,1458
OTHER OFFENSE,2008,26532
ASSAULT,2014,16903
GAMBLING,2023,13
DECEPTIVE PRACTICE,2006,13607
CRIMINAL SEXUAL ASSAULT,2002,28
ARSON,2015,453
GAMBLING,2001,934
DECEPTIVE PRACTICE,2008,14933
CRIM SEXUAL ASSAULT,2009,1398
OTHER OFFENSE,2007,26863
OBSCENITY,2001,19
CRIM SEXUAL ASSAULT,2005,1520
ROBBERY,2014,9800
BURGLARY,2005,25503
CRIMINAL DAMAGE,2009,47725
ASSAULT,2011,20411
SEX OFFENSE,2011,1096
GAMBLING,2007,1409
OTHER OFFENSE,2010,22012
THEFT,2018,65287
CRIMINAL DAMAGE,2004,53164
BATTERY,2012,59134
ASSAULT,2021,20343
BATTERY,2007,79593
ARSON,2012,469
HOMICIDE,2023,510
ARSON,2022,422
BURGLARY,2023,5931
KIDNAPPING,2023,120
CRIMINAL SEXUAL ASSAULT,2022,1562
HOMICIDE,2022,726
CRIMINAL SEXUAL ASSAULT,2015,93
ARSON,2001,1011
RITUALISM,2001,8
BATTERY,2020,41514
ARSON,2023,407
SEX OFFENSE,2019,1370
THEFT,2016,61621
CRIMINAL DAMAGE,2020,24877
DECEPTIVE PRACTICE,2023,12979
DECEPTIVE PRACTICE,2012,13766
HOMICIDE,2009,461
HUMAN TRAFFICKING,2023,8
OTHER OFFENSE,2004,29533
ASSAULT,2016,18742
BURGLARY,2019,9638
CRIMINAL SEXUAL ASSAULT,2012,67
ROBBERY,2019,7995
ROBBERY,2017,11880
THEFT,2009,80976
WEAPONS VIOLATION,2020,8432
CRIM SEXUAL ASSAULT,2012,1390
DECEPTIVE PRACTICE,2010,12577
INTIMIDATION,2022,184
OBSCENITY,2021,51
INTERFERENCE WITH PUBLIC OFFICER,2001,406
GAMBLING,2002,971
CRIMINAL TRESPASS,2004,15913
MOTOR VEHICLE THEFT,2010,19029
ARSON,2005,691
BATTERY,2009,68460
CRIMINAL DAMAGE,2007,53749
MOTOR VEHICLE THEFT,2008,18881
CRIMINAL SEXUAL ASSAULT,2009,45
CRIMINAL DAMAGE,2008,52843
HOMICIDE,2006,476
OFFENSE INVOLVING CHILDREN,2019,2439
HOMICIDE,2007,448
SEX OFFENSE,2003,2078
HUMAN TRAFFICKING,2013,2
SEX OFFENSE,2010,1137
NARCOTICS,2015,23939
STALKING,2015,155
ROBBERY,2022,8964
STALKING,2020,203
MOTOR VEHICLE THEFT,2014,9911
CRIMINAL DAMAGE,2015,28677
ROBBERY,2006,15968
BURGLARY,2012,22845
ASSAULT,2002,31523
THEFT,2020,41324
DECEPTIVE PRACTICE,2017,19685
ASSAULT,2018,20406
ROBBERY,2013,11819
ROBBERY,2016,11960
ROBBERY,2002,18523
ARSON,2003,955
THEFT,2002,98334
BURGLARY,2022,7595
MOTOR VEHICLE THEFT,2002,25121
OFFENSE INVOLVING CHILDREN,2018,2429
BURGLARY,2001,26014
CRIMINAL TRESPASS,2014,7539
OTHER OFFENSE,2016,17307
CRIMINAL DAMAGE,2018,27823
CRIM SEXUAL ASSAULT,2004,1536
SEX OFFENSE,2005,1817
CRIMINAL DAMAGE,2017,29045
NARCOTICS,2011,38605
OTHER NARCOTIC VIOLATION,2001,6
OBSCENITY,2023,30
DECEPTIVE PRACTICE,2001,14949
MOTOR VEHICLE THEFT,2017,11380
DECEPTIVE PRACTICE,2019,19068
OTHER OFFENSE,2002,32600
OFFENSE INVOLVING CHILDREN,2003,3047
MOTOR VEHICLE THEFT,2023,23941
CRIMINAL SEXUAL ASSAULT,2017,177
ROBBERY,2012,13485
NARCOTICS,2010,43398
DECEPTIVE PRACTICE,2020,18331
OFFENSE INVOLVING CHILDREN,2007,2920
CRIMINAL SEXUAL ASSAULT,2005,38
SEX OFFENSE,2012,1087
CRIMINAL TRESPASS,2007,13699
CRIMINAL TRESPASS,2023,3775
INTERFERENCE WITH PUBLIC OFFICER,2023,475
HOMICIDE,2013,431
SEX OFFENSE,2007,1529
OFFENSE INVOLVING CHILDREN,2008,2663
CRIM SEXUAL ASSAULT,2003,1571
PUBLIC PEACE VIOLATION,2001,2750
OTHER OFFENSE,2001,29662
NARCOTICS,2008,46506
ROBBERY,2003,17332
STALKING,2018,207
ARSON,2017,444
STALKING,2002,200
BATTERY,2010,65401
CRIMINAL DAMAGE,2016,31018
WEAPONS VIOLATION,2001,4278
SEX OFFENSE,2020,962
ARSON,2010,522
OTHER OFFENSE,2021,13945
BURGLARY,2017,13001
OFFENSE INVOLVING CHILDREN,2005,2906
ASSAULT,2022,20802
GAMBLING,2006,1368
DECEPTIVE PRACTICE,2009,13877
HOMICIDE,2004,455
THEFT,2015,57350
BURGLARY,2008,26218
NARCOTICS,2004,57060
MOTOR VEHICLE THEFT,2018,9985
PROSTITUTION,2006,7034
OFFENSE INVOLVING CHILDREN,2021,1920
BATTERY,2015,48924
CRIM SEXUAL ASSAULT,2017,1501
OBSCENITY,2022,48
HOMICIDE,2015,502
CRIMINAL SEXUAL ASSAULT,2016,119
INTIMIDATION,2016,136
ASSAULT,2023,18364
DECEPTIVE PRACTICE,2013,13917
ARSON,2009,616
CRIMINAL DAMAGE,2012,35855
DECEPTIVE PRACTICE,2015,16447
CRIMINAL TRESPASS,2008,12310
MOTOR VEHICLE THEFT,2012,16492
CRIMINAL DAMAGE,2023,24346
BURGLARY,2021,6659
CRIMINAL TRESPASS,2005,16655
THEFT,2023,45521
HOMICIDE,2005,453
SEX OFFENSE,2013,1060
MOTOR VEHICLE THEFT,2001,27554
DECEPTIVE PRACTICE,2004,13255
OFFENSE INVOLVING CHILDREN,2013,2490
PUBLIC PEACE VIOLATION,2021,603
LIQUOR LAW VIOLATION,2001,1637
BATTERY,2014,49453
SEX OFFENSE,2002,2173
ROBBERY,2007,15450
SEX OFFENSE,2018,1261
ASSAULT,2010,21537
KIDNAPPING,2001,933
ASSAULT,2005,27067
ASSAULT,2012,19900
BATTERY,2022,40922
STALKING,2023,413
OTHER OFFENSE,2005,28028
HOMICIDE,2001,667
ASSAULT,2006,25945
CRIMINAL TRESPASS,2006,14505
ROBBERY,2009,15981
THEFT,2012,75465
LIQUOR LAW VIOLATION,2002,1414
DECEPTIVE PRACTICE,2003,13460
NARCOTICS,2013,34129
CRIM SEXUAL ASSAULT,2008,1513
NARCOTICS,2023,4044
WEAPONS VIOLATION,2019,6339
SEX OFFENSE,2006,1576
CRIMINAL SEXUAL ASSAULT,2007,54
SEX OFFENSE,2014,1015
CRIMINAL SEXUAL ASSAULT,2011,49
SEX OFFENSE,2008,1502
CRIMINAL TRESPASS,2001,13241
STALKING,2001,204
THEFT,2001,99277
DECEPTIVE PRACTICE,2014,15956
NARCOTICS,2020,7492
CRIMINAL DAMAGE,2021,25094
OFFENSE INVOLVING CHILDREN,2015,2481
CRIMINAL TRESPASS,2021,3406
NARCOTICS,2002,51789
CRIMINAL TRESPASS,2002,13880
BURGLARY,2011,26620
CRIMINAL TRESPASS,2020,4177
PUBLIC INDECENCY,2001,9
OBSCENITY,2003,16
LIQUOR LAW VIOLATION,2003,1311
PUBLIC PEACE VIOLATION,2003,2430
STALKING,2003,247
OTHER NARCOTIC VIOLATION,2003,2
RITUALISM,2002,2
KIDNAPPING,2003,705
OTHER NARCOTIC VIOLATION,2002,5
PROSTITUTION,2003,6214
INTERFERENCE WITH PUBLIC OFFICER,2003,409
GAMBLING,2003,1088
INTIMIDATION,2003,364
WEAPONS VIOLATION,2003,4211
RITUALISM,2003,2
PUBLIC INDECENCY,2003,6
PROSTITUTION,2004,7476
RITUALISM,2004,1
OTHER NARCOTIC VIOLATION,2004,9
WEAPONS VIOLATION,2004,4298
OBSCENITY,2004,13
LIQUOR LAW VIOLATION,2004,985
GAMBLING,2004,1122
ARSON,2004,778
PUBLIC PEACE VIOLATION,2004,2495
INTERFERENCE WITH PUBLIC OFFICER,2004,531
PUBLIC INDECENCY,2004,9
STALKING,2004,215
INTIMIDATION,2004,349
